#id	length
1639:mob_dbs_refseq221_43markers/ValS:27861	2652
2678528:mob_dbs_refseq221_43markers/ValS:27773	2652
1639:mob_dbs_refseq221_43markers/RpoA:15727	945
2678528:mob_dbs_refseq221_43markers/RpoA:15683	945
